code,nom,actif
SAR,Arkansas,True
SUS,Autres États des É.-U. (non identifiés),True
SCA,Californie,True
SNC,Caroline du Nord,True
SSC,Caroline du Sud,True
SCO,Colorado,True
SDC,Columbia (district de),True
SCT,Connecticut,True
SND,Dakota du Nord,True
SSD,Dakota du Sud,True
SDE,Delaware,True
SFL,Floride,True
SGA,Géorgie,True
SHI,Hawaii,True
SID,Idaho,True
SIL,Illinois,True
SIN,Indiana,True
SIA,Iowa,True
SKS,Kansas,True
SKY,Kentucky,True
SLA,Louisiane,True
SME,Maine,True
SMD,Maryland,True
SMA,Massachusetts,True
SMI,Michigan,True
SMN,Minnesota,True
SMS,Mississippi,True
SMO,Missouri,True
SMT,Montana,True
SNE,Nebraska,True
SNV,Nevada,True
SNH,New Hampshire,True
SNJ,New Jersey,True
SNY,New York,True
SNM,Nouveau-Mexique,True
SOH,Ohio,True
SOK,Oklahoma,True
SOR,Oregon,True
SPA,Pennsylvanie,True
SPR,Porto Rico,True
SRI,Rhode Island,True
STN,Tennessee,True
STX,Texas,True
SUT,Utah,True
SVT,Vermont,True
SVA,Virginie,True
SWV,Virginie de L'ouest,True
SWA,Washington,True
SWI,Wisconsin,True
SWY,Wyoming,True
SVI,Îles Vierges (É.-U.),True
PPE,Île-du-Prince-Édouard,True
PNL,Terre-Neuve-et-Labrador,True
PNS,Nouvelle-Écosse,True
PNB,Nouveau-Brunswick,True
PQC,Québec,True
PON,Ontario,True
PMB,Manitoba,True
PSK,Saskatchewan,True
PAB,Alberta,True
PBC,Colombie-Britannique,True
PYT,Yukon,True
PNT,Territoires du Nord-Ouest,True
PNU,Nunavut,True
P24,Québec,True
